"taxon","n_great","n_poor","median_delta_great","median_delta_poor","p","p_adj","disease"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;__",17,18,0.0333444234805529,0.0210914138111297,0.498659258049882,0.807353084461713,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;__",17,18,-0.378459479477515,-0.188344402718438,0.519837507716868,0.827415431142906,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__",17,18,-0.0679183863011237,-0.384766874803284,0.541470392439108,0.827415431142906,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__",17,18,-0.0459572601798612,-0.312300354791947,0.541470392439108,0.827415431142906,"IBS"
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__",17,18,-0.344409297613635,-0.626031418994761,0.541470392439108,0.827415431142906,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53;s__",17,18,0.320907402803076,0.458688896542105,0.541470392439108,0.827415431142906,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__ramosum",17,18,0.0333444234805529,-0.235234032589143,0.563543616078971,0.838964849779354,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__",17,18,-0.344409297613635,-0.678331906305662,0.563543616078971,0.838964849779354,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__",17,18,-0.0459572601798612,-0.188344402718438,0.586041623007637,0.838964849779354,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__",17,18,-0.0581303308197576,-0.440460239826375,0.586041623007637,0.838964849779354,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans",17,18,0.320907402803076,-0.321773674071558,0.586041623007637,0.838964849779354,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum",17,18,0.013866680918909,0.0210914138111297,0.586041623007637,0.838964849779354,"IBS"
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__",17,18,-0.344409297613635,0.0210914138111297,0.608947624474232,0.853782236376243,"IBS"
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__",17,18,0.712375236215983,0.254301367386143,0.608947624474232,0.853782236376243,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__",17,18,-0.0459572601798612,-0.144960798182812,0.655910490044247,0.895152779405549,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae",17,18,0.40064091030461,-0.235234032589143,0.655910490044247,0.895152779405549,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__",17,18,0.490165744845601,0.0849737657792125,0.679927930895528,0.895152779405549,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae",17,18,-0.0459572601798612,-0.484619134671634,0.679927930895528,0.895152779405549,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis",17,18,0.0551138552259793,0.135224935566882,0.679927930895528,0.895152779405549,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__colinum",17,18,-0.262946592355671,-0.337305890931981,0.679927930895528,0.895152779405549,"IBS"
"k__Bacteria;__;__;__;__;__;__",17,18,0.013866680918909,0.36758993876579,0.704274613208778,0.895152779405549,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__",17,18,-3.33844813310993,-1.32450018284035,0.704274613208778,0.895152779405549,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__",17,18,0.0333444234805529,0.0906908607824897,0.704274613208778,0.895152779405549,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231;s__",17,18,0.013866680918909,-0.188344402718438,0.704274613208778,0.895152779405549,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii",17,18,0.30238065422371,-0.0158488912295829,0.728928182436198,0.897901802107083,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__",17,18,0.320907402803076,-0.188344402718438,0.728928182436198,0.897901802107083,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri",17,18,0.40064091030461,0.418634014356178,0.728928182436198,0.897901802107083,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__",17,18,0.653176143017272,-0.122593625563017,0.753865329868274,0.897901802107083,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve",17,18,0.013866680918909,0.489953026351445,0.753865329868274,0.897901802107083,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis",17,18,0.492492873405978,0.0806360716156987,0.779061857710557,0.897901802107083,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__",17,18,-0.0793221691956325,-0.269317136583059,0.779061857710557,0.897901802107083,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum",17,18,0.619521119131267,-0.177666671721704,0.779061857710557,0.897901802107083,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava",17,18,-0.0459572601798612,-0.412262839498266,0.779061857710557,0.897901802107083,"IBS"
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__",17,18,-0.0459572601798612,-0.27607399616642,0.779061857710557,0.897901802107083,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis",17,18,-1.09819226292121,-0.757805203614228,0.779061857710557,0.897901802107083,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__;__",17,18,0.0333444234805529,-0.166844891913483,0.80449274880142,0.911758448641609,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__putredinis",17,18,0.013866680918909,-0.144960798182812,0.80449274880142,0.911758448641609,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__",17,18,0.320907402803076,0.310028966025924,0.830132240640216,0.916612053995586,"IBS"
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__",17,18,-0.464299048940392,-0.337305890931981,0.830132240640216,0.916612053995586,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__moorei",17,18,0.0333444234805529,-0.235234032589143,0.830132240640216,0.916612053995586,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis",17,18,-0.217484218278913,-0.502480757889621,0.855953903363525,0.916612053995586,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__",17,18,0.0333444234805529,0.203681147557536,0.855953903363525,0.916612053995586,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae",17,18,-0.203227357654049,-0.497506831740987,0.855953903363525,0.916612053995586,"IBS"
