"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"F3",1494.02575361338,0.00676800663657313,0.02513816700504,0.0110248847413407,0.506075457165758
"Grtp1",453.854386246755,-0.0111663587587927,0.0274693479482425,0.0110389105073968,0.506075457165758
"Nudt17",117.830811425188,-0.0100847339486242,0.0267767311132636,0.0108647912288411,0.506075457165758
"Nup35",1051.96711862045,-0.0257199596259821,0.0467961168643997,0.0110125378509239,0.506075457165758
"Omd",770.810048823003,0.00330212784896979,0.0241392859731904,0.0109545378464731,0.506075457165758
"Tm4sf1",2904.18112524217,-0.052507411942291,0.184956204109528,0.0107582694942665,0.506075457165758
"Tmem256",863.984253317527,-0.0232227151703,0.0417054201931289,0.0110607419573048,0.506075457165758
"Tnrc18",3954.01191008958,0.0715749774214731,0.118246752319,0.0112232818689075,0.506075457165758
"Vwa8",2144.24545702272,0.0711210694121112,0.0966020270924626,0.0108055881110652,0.506075457165758
"Msn",31804.4661100891,-0.0669888946679325,0.0645009993437104,0.0112718651225059,0.506411166635212
"Serpina3h",194.458212949765,0.0134752210758813,0.0291748541657085,0.0113486258648263,0.508005761440041
"Ism1",63.2798157270928,0.00768234653567999,0.0255142843271935,0.0114290131201175,0.509750548944373
"Pafah1b3",560.227878364576,-0.0132023987169662,0.0289352500331844,0.0115567902280061,0.511741322686171
"Zfp551",65.1699928286112,0.00815672328791688,0.0257356630105741,0.0115266113678045,0.511741322686171
"Anxa6",27026.8714537937,-0.0757315318353192,0.103848770366906,0.011615606733321,0.512387130711732
