"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis","Group",0.728628502971474,0.972401090227743,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.5777512347871,-0.791479656820467
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis","Group",0.0200634772280312,0.456562464703365,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.0958333333333333,-3.38332863955151
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__","Group",0.255205734842352,0.825953336617313,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",3.87777777777778,1.95523012987998
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__","Group",0.148472206236912,0.7746375977578,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.79056237879767,0.840412779487515
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__C21_c20","Group",0.273564842277843,0.825953336617313,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.65,1.40599235967584
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;__;__","Group",0.109199949728018,0.746838247966713,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",6.25806451612903,2.64571653180025
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae","Group",0.408437643687459,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.29118497109827,0.368695691404766
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava","Group",0.880121053441484,0.990641952146713,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.06414762741652,0.0896983073877469
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__","Group",0.407450874183744,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.48387096774194,0.569365645670138
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__","Group",0.225410008726791,0.804580123312264,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",5.06060606060606,2.3393101731156
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar","Group",0.33926774095341,0.877860830773869,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",4.75873015873016,2.25057664956058
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__","Group",0.509755952291569,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.58571428571429,1.37056287013824
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__","Group",0.633713962440411,0.958903431814005,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.72631578947368,1.44695267935561
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__","Group",0.691757578297109,0.969724169477871,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.98275862068966,0.987509055816803
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__","Group",1,1,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.70253164556962,0.767681614379521
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens","Group",0.64608650295544,0.958903431814005,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.25216387766878,0.324423388171672
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__","Group",0.374212066337775,0.916437713480264,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.374331550802139,-1.41761144294267
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__","Group",0.0890283809679349,0.712227047743479,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.54129979035639,0.624147500396161
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;__","Group",0.903302019552969,0.990641952146713,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.471223021582734,-1.08551807118606
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius","Group",0.70570179863947,0.972401090227743,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.76608187134503,1.4678438584535
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;__","Group",0.694968988125807,0.969724169477871,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.40508021390374,0.490652494074542
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__;__","Group",0.136920345460564,0.746838247966713,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",4.37254901960784,2.12847455794881
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__;s__","Group",0.984117645606126,1,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.46456692913386,0.550474124335866
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius","Group",0.800591967231917,0.985235419321723,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.850409836065574,-0.233769811328599
