feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
k__Bacteria;__;__;__;__;__;__,Group,0.8049,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,3.7143,1.8931
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar,Group,0.1672,0.8915,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.8602,0.8954
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__,Group,0.772,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8952,-0.1597
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__,Group,0.5816,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2117,0.277
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__,Group,0.0699,0.6424,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.2532,1.172
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__,Group,0.2008,0.9518,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.7291,0.79
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens,Group,0.1956,0.9518,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.5799,-0.7862
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__,Group,0.6333,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.4333,0.5194
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__,Group,0.5495,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.1071,0.1468
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;__,Group,0.7908,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,6.127,2.6152
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius,Group,0.9337,0.9989,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.309,-1.6941
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;__,Group,0.9816,1,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8764,-0.1903
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__;__,Group,0.8923,0.9941,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.0488,0.0687
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__;s__,Group,0.4913,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.6598,0.731
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius,Group,0.5723,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.3561,0.4395
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__,Group,0.4372,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.4364,0.5224
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__,Group,0.7525,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2684,0.3431
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__,Group,0.6334,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.6978,0.7636
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__,Group,0.573,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.4332,-1.2071
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta,Group,0.9062,0.9941,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.0863,1.061
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus,Group,0.0364,0.5184,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.3069,-1.7043
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__callidus,Group,0.3101,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.5236,1.3355
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__,Group,0.0017,0.181,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,7.3469,2.8771
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__,Group,0.3074,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.3966,0.482
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__,Group,0.5678,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.7484,-0.4181
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__yabuuchiae,Group,0.7241,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.0752,0.1047
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__,Group,0.7627,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.1507,1.1048
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii,Group,0.075,0.6424,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.6373,-0.65
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum,Group,0.7184,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,7.1136,2.8306
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__,Group,0.0031,0.181,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.3026,1.2032
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__biforme,Group,0.9845,1,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.7915,-0.3373
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri,Group,0.0073,0.2326,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.069,-3.8569
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__,Group,0.2588,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.6374,0.7114
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__,Group,0.7142,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.7529,-0.4095
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis,Group,0.0365,0.5184,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.0767,1.0543
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea,Group,0.4283,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.0201,1.0145
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae,Group,0.6799,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.5939,0.6726
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53;s__,Group,0.0657,0.6424,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.3578,-1.4827
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans,Group,0.5447,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8636,-0.2116
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;__,Group,0.4174,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.7053,-0.5036
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum,Group,0.7902,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.9389,-0.0909
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__torques,Group,0.8329,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.9568,-0.0637
